LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-122.0246521,36.965212,80,FRONT ST,349,,,,95060,,f0f3e117d8e8ae0f
-122.0246521,36.965212,80,FRONT ST,3A,,,,95060,,52df03e10caaf1c0
-122.0246521,36.965212,80,FRONT ST,3B,,,,95060,,15ce2045ddba412f
-122.0246521,36.965212,80,FRONT ST,410,,,,95060,,a2b921119c58c00e
-122.0246521,36.965212,80,FRONT ST,412A,,,,95060,,91e0c13dea6ca769
-122.0246521,36.965212,80,FRONT ST,412B,,,,95060,,7ff0f18c69c5f2c1
-122.0246521,36.965212,80,FRONT ST,414A,,,,95060,,a058713bc0682fb3
-122.0246521,36.965212,80,FRONT ST,414B,,,,95060,,e12787f886c9f247
-122.0246521,36.965212,80,FRONT ST,417B,,,,95060,,3033cec30bcf290a
-122.0246521,36.965212,80,FRONT ST,337B,,,,95060,,f6bc175510ce80da
-122.0246521,36.965212,80,FRONT ST,421B,,,,95060,,4ffd371b733d93cf
-122.0246521,36.965212,80,FRONT ST,341,,,,95060,,2643bed13b04a60e
-122.0246521,36.965212,80,FRONT ST,425A,,,,95060,,d9fa71d7eae9ab2a
-122.0246521,36.965212,80,FRONT ST,343B,,,,95060,,06bb1279b5902d43
-122.0246521,36.965212,80,FRONT ST,427,,,,95060,,17d7afc1d2efc6ad
-122.0246521,36.965212,80,FRONT ST,345B,,,,95060,,14b66b889a1a6b08
-122.0246521,36.965212,80,FRONT ST,429A,,,,95060,,bd724d8b770378b4
-122.0246521,36.965212,80,FRONT ST,429B,,,,95060,,fe71eb92eaf31d9f
-122.0246521,36.965212,80,FRONT ST,5,,,,95060,,34c43e09dcbba5fe
-122.0246521,36.965212,80,FRONT ST,7,,,,95060,,0deca1566fd80c56
-122.0246521,36.965212,80,FRONT ST,A,,,,95060,,83fe1fe1b55661d0
-122.0246521,36.965212,80,FRONT ST,417A,,,,95060,,75d3b89961b94683
-122.0246521,36.965212,80,FRONT ST,C,,,,95060,,cf0bc9fb5d8397a9
-122.0246521,36.965212,80,FRONT ST,421A,,,,95060,,d3881af9b0060c90
-122.0246521,36.965212,80,FRONT ST,E,,,,95060,,1ca875c0b7e82b3c
-122.0246521,36.965212,80,FRONT ST,423,,,,95060,,703ffffe6e9e5291
-122.0246521,36.965212,80,FRONT ST,OFC,,,,95060,,84f7a2e1ed66a597
-122.0246521,36.965212,80,FRONT ST,425B,,,,95060,,81265984f2a3975e
-122.0255598,36.964917,81,FRONT ST,,,,,95060,,527b0d4b959f5bc5
-122.0255598,36.964917,81,FRONT ST,1,,,,95060,,072fd0eaf9d5e5ec
-122.0255598,36.964917,81,FRONT ST,A,,,,95060,,2e7c651714d13403
-122.0255598,36.964917,81,FRONT ST,B,,,,95060,,e416844f9d63c966
-122.0255598,36.964917,81,FRONT ST,C,,,,95060,,21a99346a7d77b02
-122.0246521,36.965212,80,FRONT ST,9,,,,95060,,1a8d6851faf6e904
-122.0255598,36.964917,81,FRONT ST,COMMON,,,,95060,,5ad76c10dbae3ac6
-122.0255598,36.964917,81,FRONT ST,E,,,,95060,,a425c5b941d55c22
-122.0246521,36.965212,80,FRONT ST,D,,,,95060,,2b2ce8471f0d7e5b
-122.0255598,36.964917,81,FRONT ST,H,,,,95060,,36864c25620a7e50
-122.0255598,36.964917,81,FRONT ST,G,,,,95060,,2aca40b5033a486d
